name,line,latitude,longitude
南京东路,,31.2391239,121.4792291
新闸路,,31.2405472,121.4636467
中山北路,,31.2614891,121.45447
张江高科,,31.2039914,121.5833523
徐家汇,,31.1950755,121.4339035
衡山路,,31.2064527,121.4419408
陕西南路,,31.2188995,121.4552697
一大会址·黄陂南路,,31.2249337,121.4693495
上海科技馆,,31.2218914,121.5386617
南京西路,,31.2318255,121.4560232
北新泾,,31.2183955,121.3690974
淞虹路,,31.2199749,121.3558076
虹桥2号航站楼,,31.1964723,121.3216102
金科路,,31.2064028,121.597836
广兰路,,31.2131129,121.616873
唐镇,,31.2163796,121.6518673
创新中路,,31.2155336,121.6698203
川沙,,31.1887574,121.6936866
凌空路,,31.194826,121.7195131
华夏东路,,31.1988574,121.6767066
枫桥路,,31.2443442,121.4057154
真如,,31.2527094,121.402647
祁连山路,,31.273409,121.3722123
武威路,,31.2783683,121.3600778
桃浦新村,,31.2834828,121.3450707
安亭北,,31.3163832,121.1537318
北郊,,31.3048976,121.4508603
虹桥1号航站楼,,31.1932684,121.3427146
芦潮港,,30.8875251,121.8466639
南翔,,31.2776686,121.3222534
三林东,,31.1486404,121.5188767
龙华,,31.1748452,121.4486885
龙耀路,,31.1615085,121.4551734
浦三路,,31.1531902,121.5350543
三林,,31.1453958,121.507929
上海游泳馆,,31.1812817,121.4367543
徐家汇,,31.1974902,121.4323653
云锦路,,31.1695006,121.4538663
金山北,,30.8963212,121.0848732
杨行,,31.3758686,121.4474062
秀沿路,,31.1403484,121.5942175
李家塘,,31.1128595,121.3559439
七宝,,31.160489,121.3235415
封浜,,31.2586989,121.2844856
金山卫西,,30.7021505,121.277384
海湾,,30.8642698,121.5441535
静安寺,,31.2252923,121.4421389
康新公路,,31.1326897,121.6131827
虹桥火车站,,31.1959975,121.3137324
黄渡,,31.2958703,121.2351783
中山公园,,31.2200642,121.4115608
威宁路,,31.2167836,121.3826767
莲花路,,31.1328603,121.3982663
锦江乐园,,31.1440689,121.4095153
通河新村,,31.3329517,121.4369064
共康路,,31.3217011,121.4420271
彭浦新村,,31.3074944,121.4439361
汶水路,,31.2945322,121.4455881
惠南,,31.056003,121.7573174
临港大道,,30.925954,121.9065641
常熟路,,31.2151666,121.4464856
上海虹桥,,31.1959782,121.3162004
闵行,,31.0120676,121.3459683
桃浦,,31.2991386,121.3843399
何家湾,,31.3423428,121.49399
杨浦,,31.2957694,121.5437596
殷行,,31.3208537,121.5400582
张庙,,31.3304161,121.4680771
吴泾调车场,,31.0792278,121.4498571
芦恒路,,31.1202135,121.4938183
东方体育中心,,31.1554593,121.4758296
杨思,,31.1630199,121.4890118
成山路,,31.1727623,121.4917772
陆家浜路,,31.2138544,121.4814802
老西门,,31.2208466,121.4784338
大世界,,31.2291468,121.4749289
曲阜路,,31.244194,121.4669569
中兴路,,31.255078,121.4643534
西藏北路,,31.265566,121.4645728
曲阳路,,31.278536,121.4857918
四平路,,31.2768579,121.496992
鞍山新村,,31.2752636,121.5051698
江浦路,,31.2769932,121.5141937
黄兴路,,31.2809549,121.5240955
延吉中路,,31.2907317,121.5306115
黄兴公园,,31.2978586,121.5288185
翔殷路,,31.3071133,121.5275779
市光路,,31.3247936,121.5276336
醉白池,,31.0028512,121.2244749
松江体育中心,,31.0179937,121.2262371
松江新城,,31.0322111,121.2262586
宜山路,,31.1862088,121.4227293
嘉善路,,31.2046319,121.456367
打浦桥,,31.2082336,121.4640097
马当路,,31.2112829,121.4720292
小南门,,31.2190076,121.4940577
龙柏新村,,31.1792624,121.3659379
紫藤路,,31.1717823,121.3609817
航中路,,31.1671579,121.3491547
上海动物园,,31.1920985,121.3634133
龙溪路,,31.1963362,121.3757005
水城路,,31.2012461,121.3876028
伊犁路,,31.2011073,121.3980259
宋园路,,31.1983438,121.4079018
虹桥路,,31.198577,121.4175044
交通大学,,31.2040391,121.4304645
上海图书馆,,31.2100122,121.4396546
陕西南路,,31.2168438,121.4540097
一大会址·新天地,,31.2180993,121.4699438
豫园,,31.2299254,121.4828695
